"date","Province","Cases","Deaths","Recovered","Tests","...7","...8","...9"
2020-03-21,"OCOA",0,0,0,0,NA,NA,NA
2020-03-21,"SD",31,0,0,0,NA,NA,NA
2020-03-22,"DN",108,0,0,0,NA,NA,NA
2020-03-22,"AZUA",2,0,0,0,NA,NA,NA
2020-03-22,"BAO",0,0,0,0,NA,NA,NA
2020-03-22,"BARA",1,0,0,0,NA,NA,NA
2020-03-22,"DJBON",0,0,0,0,NA,NA,NA
2020-03-22,"DTE",17,1,0,0,NA,NA,NA
2020-03-22,"EP",0,0,0,0,NA,NA,NA
2020-03-22,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-22,"ESP",1,0,0,0,NA,NA,NA
2020-03-22,"IND",0,0,0,0,NA,NA,NA
2020-03-22,"ALT",7,0,0,0,NA,NA,NA
2020-03-22,"ROM",6,0,0,0,NA,NA,NA
2020-03-22,"VEGA",7,0,0,0,NA,NA,NA
2020-03-22,"MTS",2,0,0,0,NA,NA,NA
2020-03-22,"MC",0,0,0,0,NA,NA,NA
2020-03-22,"PED",0,0,0,0,NA,NA,NA
2020-03-22,"PERV",0,0,0,0,NA,NA,NA
2020-03-22,"PPLATA",3,0,0,0,NA,NA,NA
2020-03-22,"MIRABAL",3,0,0,0,NA,NA,NA
2020-03-22,"SAM",4,0,0,0,NA,NA,NA
2020-03-22,"SCBAL",1,0,0,0,NA,NA,NA
2020-03-22,"SJUAN",2,1,0,0,NA,NA,NA
2020-03-22,"SPM",7,1,0,0,NA,NA,NA
2020-03-22,"SRAM",1,0,0,0,NA,NA,NA
2020-03-22,"STGO",30,0,0,0,NA,NA,NA
2020-03-22,"SROD",0,0,0,0,NA,NA,NA
2020-03-22,"VALV",1,0,0,0,NA,NA,NA
2020-03-22,"NOUEL",3,0,0,0,NA,NA,NA
2020-03-22,"MPLATA",0,0,0,0,NA,NA,NA
2020-03-22,"HMAYOR",0,0,0,0,NA,NA,NA
2020-03-22,"OCOA",0,0,0,0,NA,NA,NA
2020-03-22,"SD",39,0,0,0,NA,NA,NA
2020-03-23,"DN",137,0,0,0,NA,NA,NA
2020-03-23,"AZUA",1,0,0,0,NA,NA,NA
2020-03-23,"BAO",0,0,0,0,NA,NA,NA
2020-03-23,"BARA",1,0,0,0,NA,NA,NA
2020-03-23,"DJBON",0,0,0,0,NA,NA,NA
2020-03-23,"DTE",29,4,0,0,NA,NA,NA
2020-03-23,"EP",0,0,0,0,NA,NA,NA
2020-03-23,"SEIBO",0,0,0,0,NA,NA,NA
2020-03-23,"ESP",2,0,0,0,NA,NA,NA
